customer_token,tenure_months,monthly_charge_eur,total_charges_eur,num_products,contract_type,payment_method,has_internet_service,has_phone_service,support_tickets_6m,avg_monthly_usage_gb,days_since_last_contact,nps_score,payment_delay_count_12m,age_bucket,gender_encoded,region,churned
a981098a586ce8bd,68,59.98,4138.98,3,monthly,digital_wallet,False,True,6,480.4,325,8.9,3,26-35,1,DE-NW,0
42c4eabba3c0309b,66,116.37,7832.66,5,annual,digital_wallet,False,False,5,425.9,44,2.8,3,26-35,1,CH-ZH,0
7b9f9dd5e6c6017e,48,50.32,2456.87,4,monthly,credit_card,False,False,4,440.2,359,8.8,4,18-25,0,DE-BY,0
8560f29217da0829,30,90.61,2832.3,4,two_year,digital_wallet,False,True,1,147.1,207,6.9,2,65+,1,AT-W,0
074e14ee8997525d,70,70.75,5040.65,3,annual,digital_wallet,False,False,4,115.3,98,3.2,5,65+,0,DE-NW,0
03317b602209d5a0,27,92.55,2599.69,5,two_year,credit_card,True,True,4,113.7,91,3.0,5,65+,0,DE-HE,0
39063b88013afa8a,5,117.3,726.96,2,two_year,digital_wallet,True,True,9,142.2,245,4.4,1,18-25,1,AT-W,0
24035e5fa3060bd4,14,101.32,1476.65,1,monthly,invoice,False,True,3,59.2,213,6.1,6,65+,0,CH-ZH,0
0dc17c506a1ce18f,48,62.3,3075.14,4,annual,auto_debit,True,True,10,105.5,338,0.8,1,26-35,0,DE-NW,0
250219c2401f56a4,0,57.89,56.15,1,monthly,credit_card,False,False,1,343.7,135,7.9,5,65+,0,AT-W,0
2e7254278d3f3118,14,72.18,1112.18,2,monthly,auto_debit,True,False,9,374.5,291,9.2,3,18-25,1,CH-BE,0
f7af4dc3737fd9e4,38,88.47,3450.37,4,annual,auto_debit,True,False,11,161.2,128,0.3,1,65+,0,CH-BE,0
988481da002ff954,34,75.51,2618.32,5,two_year,digital_wallet,False,True,9,217.9,251,9.7,3,36-50,1,DE-HE,0
fb31b871b8a3adab,41,85.36,3570.59,4,annual,digital_wallet,True,False,1,157.3,165,1.2,6,51-65,0,CH-BE,0
bd246b4341e55fef,69,63.51,4446.87,5,annual,digital_wallet,True,True,4,274.6,147,4.4,5,51-65,0,DE-BY,0
1b2ee82dc979a6cc,30,89.53,2731.89,4,monthly,invoice,True,False,1,323.9,78,5.0,5,36-50,1,AT-W,0
b345e0b5da78665d,61,117.93,7317.71,4,monthly,invoice,True,False,12,395.0,212,3.4,6,65+,1,DE-BY,0
8b531b21e41bc3a2,36,91.24,3383.17,4,monthly,digital_wallet,False,False,5,276.0,278,3.8,2,26-35,0,CH-ZH,0
eb70b687f60910b4,49,39.52,1957.96,4,two_year,digital_wallet,False,True,7,482.4,64,5.0,4,36-50,0,AT-W,0
637dbf8360d5194e,12,70.22,928.48,4,two_year,invoice,True,False,12,484.6,173,6.2,3,18-25,1,CH-BE,0
05994ecc6b269fd8,68,54.9,3800.11,4,two_year,auto_debit,True,True,10,342.2,147,10.0,5,18-25,1,DE-BY,0
686c007f83d0eac1,12,61.59,825.52,1,annual,auto_debit,False,False,5,215.3,125,5.3,4,26-35,0,DE-NW,0
8dc5d38069cca211,10,79.0,883.47,4,two_year,invoice,True,False,10,127.0,130,6.7,6,51-65,1,CH-BE,0
6da130da8af1e304,69,31.59,2206.42,5,annual,digital_wallet,False,False,4,99.6,196,8.5,0,26-35,1,CH-ZH,0
f1a71cf26fe20f2b,45,75.36,3451.13,4,annual,auto_debit,True,False,4,387.9,117,6.1,2,26-35,0,CH-ZH,0
407b37d85e83dd32,32,86.17,2857.33,2,two_year,auto_debit,True,False,12,220.4,296,3.6,1,18-25,1,DE-HE,0
3cd287a648484145,53,33.44,1807.08,3,two_year,credit_card,True,False,7,483.7,151,7.5,2,18-25,1,DE-BY,0
28b1bf21489bea06,18,94.19,1806.22,4,two_year,credit_card,True,False,0,132.2,63,4.5,5,36-50,1,CH-BE,1
8595ddc66d3b9017,47,26.38,1253.71,5,annual,invoice,True,False,11,151.1,209,1.2,0,18-25,1,AT-W,0
10f4e4cae95c3915,14,25.21,368.97,4,annual,digital_wallet,True,False,10,49.5,250,6.2,2,18-25,1,DE-NW,0
39b28406376154b3,56,61.69,3507.86,3,two_year,credit_card,True,False,4,94.9,62,9.5,6,51-65,0,CH-BE,0
875c96b52ad634b5,27,82.38,2267.21,3,monthly,invoice,True,True,12,277.1,300,2.2,6,26-35,1,DE-NW,0
cd00dc8810df1048,0,44.11,65.61,5,annual,invoice,True,True,2,7.4,121,5.9,0,26-35,1,DE-BY,0
a9cb620e782da676,16,92.88,1601.78,4,annual,credit_card,True,False,8,110.8,314,0.4,6,65+,1,AT-W,0
25ea9e9c9f1d2ee0,3,21.39,83.46,1,annual,digital_wallet,True,True,5,304.1,33,1.3,4,65+,1,AT-W,0
2709c6d24922d50e,67,45.96,3122.07,1,two_year,invoice,False,False,3,206.9,232,4.0,5,18-25,1,AT-W,0
7cfe910d5ae635ea,40,84.84,3448.97,4,monthly,auto_debit,True,True,6,48.3,190,8.1,4,18-25,1,CH-BE,0
bdce091f2454ef15,15,58.13,955.72,4,two_year,auto_debit,False,False,5,51.8,259,2.1,5,51-65,0,DE-BY,0
eeccf8e98cb3268d,44,103.76,4696.45,5,monthly,digital_wallet,True,False,0,90.2,359,7.6,2,36-50,0,DE-NW,0
47e9e5a660861f66,18,74.46,1388.07,1,monthly,invoice,False,False,7,170.4,189,3.1,2,65+,0,DE-BY,0
e5b1e41da4f5a0ef,19,31.53,636.09,3,annual,digital_wallet,False,False,6,136.6,262,1.1,3,18-25,1,CH-BE,0
fedfe36dcf07da5a,62,70.33,4411.13,5,monthly,auto_debit,True,False,3,383.7,130,2.9,0,18-25,1,CH-BE,0
12f047c9e326e9ad,55,33.45,1880.01,5,two_year,credit_card,True,False,11,21.2,9,4.6,0,36-50,1,CH-ZH,0
8042459bdf2374c9,51,89.5,4619.56,1,annual,invoice,False,False,1,218.4,54,2.4,4,51-65,0,AT-W,0
d7ab65598d82d494,39,93.31,3758.44,1,two_year,auto_debit,True,False,5,363.7,330,8.2,1,18-25,0,DE-HE,0
a278a47b25db6b97,25,33.22,872.33,1,monthly,digital_wallet,False,False,10,462.1,289,6.4,4,36-50,1,DE-NW,0
4e2019446be70d5a,56,22.17,1259.32,3,two_year,auto_debit,False,True,4,230.9,19,0.6,6,36-50,0,CH-BE,0
c7a62b9370af391d,11,79.58,951.99,5,two_year,auto_debit,False,True,5,302.5,256,1.5,0,51-65,0,DE-HE,0
174082e445371ba1,10,67.98,730.63,4,annual,invoice,False,False,4,193.7,173,6.8,0,36-50,0,DE-HE,1
2a4637feda49b45d,12,73.59,938.42,5,monthly,credit_card,True,True,5,155.1,335,7.0,3,26-35,0,DE-HE,0
f403324a35c8b2f5,71,54.55,3944.68,5,monthly,digital_wallet,False,True,5,154.4,109,3.4,6,51-65,0,DE-NW,0
74aea4f110f27179,17,31.27,571.87,5,two_year,auto_debit,False,True,9,188.4,83,1.8,5,65+,0,CH-BE,0
2cc5ecdf62ff6e89,56,19.59,1120.93,4,two_year,credit_card,False,True,8,119.6,240,9.0,1,36-50,1,AT-W,0
bc7c29eefe7123ba,36,96.7,3570.03,2,monthly,invoice,False,True,10,240.3,190,5.5,0,65+,0,DE-HE,0
7ab91c2ae7549b3b,10,95.13,1084.99,2,annual,auto_debit,True,False,5,465.2,212,0.5,4,36-50,0,AT-W,0
411fd7c0b7f9a803,10,54.37,621.49,3,monthly,invoice,True,False,7,348.0,71,7.6,3,51-65,0,DE-BY,1
ac0d58c6f453e585,2,41.87,127.65,5,two_year,digital_wallet,True,False,3,150.6,24,2.4,5,65+,1,DE-BY,0
c2dfeb5991158ea3,14,102.85,1546.46,5,two_year,invoice,True,False,6,0.8,180,2.4,3,26-35,0,CH-ZH,0
4d6eb45fd05d56fd,46,22.11,1039.33,5,two_year,auto_debit,False,False,0,317.8,191,2.5,0,36-50,0,DE-HE,0
448e54f978934d2e,30,91.96,2875.73,3,monthly,auto_debit,False,False,10,87.5,350,4.6,5,51-65,0,DE-NW,0
9e04230ae86651f3,8,90.18,769.87,2,monthly,invoice,True,False,4,257.7,278,4.7,0,26-35,1,DE-HE,0
fd0a807ca0df70a8,6,105.91,701.6,3,annual,digital_wallet,False,False,5,486.9,254,6.9,2,65+,1,DE-BY,0
5ce4a8318d8f92e9,54,23.29,1288.46,5,annual,credit_card,True,True,5,330.5,156,4.5,5,51-65,0,CH-BE,0
cfd4f236ea9babb7,56,51.91,2978.08,3,two_year,digital_wallet,False,True,1,335.6,207,3.6,6,26-35,0,DE-NW,0
be651712971ebd6b,56,18.65,1068.24,3,annual,digital_wallet,True,True,10,225.0,189,3.7,6,18-25,0,CH-ZH,0
09151ed2d74d2e19,46,56.79,2654.91,1,monthly,invoice,False,False,8,58.9,133,7.0,1,65+,1,CH-BE,0
f6ccf81852a818b6,62,36.02,2253.92,2,two_year,digital_wallet,True,False,10,173.7,33,5.5,2,36-50,0,CH-BE,0
0a5211e92314f9b4,22,98.34,2224.58,2,monthly,invoice,False,True,5,277.0,188,4.7,4,26-35,0,DE-BY,0
84ccf3119a3a106d,39,56.81,2271.19,4,annual,auto_debit,True,False,10,37.1,238,6.8,2,26-35,0,DE-NW,0
bbfdcbef0e34347b,55,67.8,3819.27,5,monthly,credit_card,True,True,5,467.4,115,3.5,4,36-50,0,DE-HE,0
466084ce02acd76c,25,81.68,2093.06,3,two_year,auto_debit,True,True,2,329.4,309,3.4,4,18-25,0,DE-BY,0
40c70ea52c9c36e1,5,114.6,660.63,2,two_year,digital_wallet,True,False,10,272.8,328,9.6,3,26-35,1,DE-HE,0
21074e734f33a890,58,22.66,1335.57,4,annual,invoice,False,True,5,430.7,163,7.3,6,36-50,1,DE-NW,0
310b642934f57b26,47,69.07,3297.52,1,annual,digital_wallet,True,True,1,25.3,196,8.6,3,26-35,0,DE-HE,0
2bc450148c28b47a,40,34.93,1449.45,4,annual,credit_card,False,True,1,472.6,258,4.6,1,26-35,1,DE-BY,0
6c14a166a64d8b13,6,44.54,327.05,4,annual,auto_debit,True,False,2,441.2,187,7.6,2,18-25,1,DE-BY,0
101cbc670c03679a,72,73.99,5385.63,4,two_year,digital_wallet,False,True,2,487.5,201,3.7,2,65+,1,DE-NW,0
9b48ca8ae3307299,25,78.26,1998.78,1,monthly,credit_card,False,False,2,303.1,263,1.4,4,36-50,0,AT-W,0
61b8edd0c82a20ae,38,77.34,3017.01,4,two_year,credit_card,False,True,5,165.6,56,9.8,4,36-50,0,CH-ZH,0
be15ab4e1a02bf8f,60,42.88,2635.92,5,two_year,invoice,True,False,2,262.1,317,7.7,3,26-35,0,DE-BY,0
7d5e2b48e263f4d1,14,35.03,522.6,4,two_year,invoice,False,False,11,363.7,361,1.4,1,65+,1,CH-BE,0
4bff6814ca7d7561,61,70.18,4328.22,5,annual,credit_card,False,False,3,478.7,142,5.6,1,36-50,1,CH-BE,0
b1f6aff0c1a0b989,26,87.48,2360.19,5,two_year,credit_card,False,True,9,338.3,194,9.0,3,36-50,0,DE-HE,0
4407a0b264a06487,5,45.2,264.26,4,two_year,credit_card,False,True,3,414.0,138,9.3,5,36-50,0,DE-BY,0
c0d2834a28f7d955,30,40.46,1255.52,2,monthly,auto_debit,False,False,11,236.2,348,7.7,0,65+,0,AT-W,0
18f69bcd2f9cc9c3,60,65.13,4003.14,3,annual,auto_debit,True,True,8,369.3,19,9.1,1,51-65,0,DE-BY,0
da1ce756a9266d28,50,97.74,5009.08,3,monthly,auto_debit,False,True,5,142.3,328,5.4,3,26-35,1,DE-HE,0
8af0aecac4084a0d,24,99.93,2521.35,3,two_year,invoice,True,False,12,147.5,345,7.6,1,65+,1,AT-W,0
2a2d3abde32ffed3,65,49.43,3242.38,2,annual,credit_card,True,True,4,191.8,228,7.5,2,36-50,0,DE-HE,0
39ca2dc771d824bf,46,87.74,4090.28,3,monthly,digital_wallet,False,True,10,458.1,151,3.7,1,26-35,0,AT-W,0
32dd4f34e06d50d9,19,62.77,1247.47,5,annual,invoice,True,True,8,223.4,360,3.6,4,18-25,0,CH-ZH,0
e9c2978b46367476,64,36.23,2342.8,5,annual,auto_debit,True,False,1,449.4,228,8.1,3,26-35,1,AT-W,0
fae0b351876a2aca,72,21.06,1543.84,1,annual,credit_card,True,True,9,36.5,216,3.4,0,65+,0,DE-BY,0
319fdc2d4e45cd71,60,18.33,1123.06,4,annual,digital_wallet,False,False,6,40.1,338,8.7,1,36-50,0,DE-NW,0
d5574ffb10ab85b5,68,56.27,3909.57,1,monthly,credit_card,False,False,8,189.6,117,2.5,2,26-35,1,DE-NW,0
8e7718b13ed59f5c,14,18.38,277.81,1,monthly,invoice,True,True,9,16.8,306,6.7,6,18-25,0,CH-BE,0
c4be4101ef794440,5,57.24,327.26,1,monthly,credit_card,True,False,9,299.0,344,8.2,1,36-50,0,CH-BE,1
11c1d84fadb1c7c2,66,38.21,2543.29,5,two_year,invoice,False,False,0,486.1,329,6.7,6,65+,1,CH-BE,0
409ac406fa85dadc,53,57.87,3106.69,5,annual,invoice,True,False,11,72.2,237,9.1,4,51-65,1,CH-ZH,0
9714754ba9ca7aa1,67,29.08,1968.81,1,annual,credit_card,True,True,0,134.2,344,6.0,0,18-25,0,CH-ZH,0
63686e65207e190f,71,37.79,2736.26,3,monthly,invoice,True,True,11,499.8,245,9.1,5,65+,0,AT-W,0
bc5b3d83c4f94cac,30,72.97,2253.36,5,two_year,credit_card,False,False,5,256.4,254,4.7,6,51-65,1,DE-NW,0
b08621aaed58ed30,47,47.86,2314.71,2,monthly,credit_card,False,False,2,98.1,117,3.8,6,26-35,1,CH-ZH,0
7edd7493d09fd63a,43,42.02,1868.48,4,annual,invoice,False,True,2,360.2,250,1.8,4,18-25,0,DE-BY,0
6208e28482f81294,6,95.26,699.45,2,monthly,invoice,True,True,8,228.0,30,6.2,5,65+,1,CH-BE,0
70e5fb5880e41b74,62,16.65,1047.47,1,two_year,credit_card,False,True,8,406.6,345,4.3,1,18-25,0,CH-ZH,0
1513d2d5ae9abd60,19,40.3,796.02,3,annual,digital_wallet,True,False,6,229.5,124,9.9,1,36-50,0,CH-BE,0
d08a5d4a9330860a,4,24.82,125.41,1,two_year,auto_debit,True,True,7,422.7,330,7.8,4,18-25,0,DE-NW,0
ca65d51e944b52ee,27,109.63,3076.96,3,monthly,auto_debit,False,True,2,464.4,161,0.2,1,65+,0,CH-BE,0
7dca056d1b851684,50,112.53,5746.23,5,annual,credit_card,False,True,12,494.2,40,5.0,2,18-25,0,AT-W,0
d8a42796049f954e,29,103.06,3119.52,5,annual,credit_card,True,False,12,496.3,251,2.3,4,51-65,1,DE-NW,0
ef33a9a3135f3db9,48,24.0,1183.15,1,monthly,credit_card,True,False,11,391.9,78,7.4,2,36-50,0,DE-BY,0
61fd0f5864ecb010,0,114.01,143.81,1,monthly,auto_debit,True,False,7,278.5,262,4.1,0,18-25,1,CH-ZH,0
d79c204a6da3f355,11,77.68,960.41,1,annual,digital_wallet,False,True,11,450.6,124,5.7,1,51-65,0,DE-NW,0
90d800f496e91751,34,46.62,1611.34,4,annual,digital_wallet,False,False,12,38.5,128,9.4,5,51-65,0,AT-W,0
5eb10f0cd7a891d2,13,29.23,406.17,5,annual,credit_card,False,False,6,407.7,333,9.7,1,36-50,1,CH-ZH,1
caa3f70770df65c2,25,65.3,1691.16,3,annual,digital_wallet,True,False,6,140.2,201,3.7,4,26-35,0,CH-BE,0
959c15d7aeddff50,70,17.83,1273.83,2,annual,credit_card,True,False,10,249.7,324,3.0,2,26-35,1,AT-W,0
60ec1ac35556f58d,9,62.15,626.61,5,two_year,digital_wallet,True,False,11,447.8,274,5.9,0,18-25,0,CH-BE,0
06a4d89404253d9e,45,32.47,1495.67,4,annual,digital_wallet,True,True,1,129.4,261,7.5,4,65+,0,AT-W,0
ec8204acdd2ac64a,47,56.07,2696.33,5,monthly,credit_card,True,False,1,147.7,43,1.2,5,26-35,1,DE-HE,0
d370bf88bb1fed68,43,62.81,2762.57,4,monthly,digital_wallet,False,False,1,150.1,363,1.2,6,36-50,0,CH-BE,0
7a7c8d4f2020eaf9,21,112.64,2479.88,5,monthly,credit_card,False,False,3,398.9,322,1.8,5,51-65,1,DE-BY,0
32be5eb671304318,25,62.21,1586.63,2,monthly,credit_card,True,True,12,436.0,95,3.7,1,51-65,0,DE-HE,0
52ad3664a4d05665,62,70.41,4442.66,5,annual,auto_debit,False,False,7,308.7,344,7.1,2,65+,0,CH-BE,0
c281620ecc16e8ea,17,47.88,843.5,3,two_year,invoice,False,False,9,68.9,196,4.2,3,65+,0,CH-ZH,1
c50eda8600c290eb,21,66.41,1448.71,4,two_year,auto_debit,False,True,7,68.3,196,9.6,4,51-65,1,CH-BE,1
af7c0a451d8bd57f,62,58.64,3693.66,1,two_year,auto_debit,True,False,0,137.4,275,2.9,6,51-65,1,CH-ZH,0
2f018d859cd898b5,65,26.89,1782.14,3,two_year,auto_debit,False,True,6,51.2,334,7.5,2,18-25,1,DE-HE,0
cfc633a0e42f4c7d,44,105.53,4787.4,1,monthly,invoice,False,False,2,308.1,105,8.1,6,18-25,1,CH-ZH,0
e1bcdb4be6b1fdd8,35,77.67,2833.32,3,annual,credit_card,True,True,12,392.8,30,9.9,6,26-35,0,DE-NW,0
cb3a7a12ac0f2654,18,89.7,1727.75,4,annual,invoice,False,False,6,226.0,324,7.9,6,18-25,1,CH-ZH,0
00df7022ce2e0386,35,87.94,3161.86,4,annual,auto_debit,True,False,10,332.1,183,8.5,6,65+,1,DE-NW,0
b0b6dd3d1297e56c,54,101.61,5570.55,3,annual,invoice,False,False,10,381.1,23,1.0,6,51-65,0,DE-BY,0
350d9ea9aab807a6,20,61.34,1316.24,2,two_year,invoice,False,True,4,46.7,184,2.5,2,26-35,0,AT-W,1
cc57238a136e920c,39,91.23,3642.74,1,two_year,auto_debit,True,True,7,39.0,303,2.3,5,51-65,0,DE-BY,0
567c594223514ff3,43,100.8,4427.37,2,annual,auto_debit,True,False,1,365.4,52,1.0,2,36-50,0,AT-W,0
c57e3d97aeb40ec3,17,82.37,1447.11,5,monthly,invoice,False,False,11,106.5,77,9.2,4,51-65,0,DE-BY,0
7606fac68580d2c7,12,29.7,392.93,3,annual,credit_card,True,True,4,322.3,127,5.5,4,65+,1,CH-BE,1
267e625565404acc,3,104.03,395.49,5,two_year,invoice,False,False,10,27.3,122,4.9,0,26-35,1,CH-BE,0
14be3a476b56c6b3,9,70.47,739.01,3,monthly,digital_wallet,False,False,8,341.5,241,9.5,6,18-25,0,CH-ZH,0
4d6951c1297e4c67,8,16.45,155.0,4,two_year,credit_card,False,False,11,201.1,327,5.4,4,26-35,1,DE-BY,1
49768037c84f8008,39,23.3,943.05,2,two_year,credit_card,False,True,4,349.3,122,0.6,0,51-65,0,AT-W,0
a98b26f89fb60041,7,47.48,391.27,1,monthly,invoice,True,True,7,476.5,267,5.2,6,36-50,0,DE-HE,0
a2fbd00f815aca53,16,93.73,1615.24,1,monthly,credit_card,False,False,8,31.9,364,9.8,5,18-25,1,AT-W,0
4e0d9e14e02c2a34,65,52.81,3488.99,3,monthly,credit_card,True,True,3,370.4,1,0.4,6,18-25,0,DE-BY,0
c848f2790122e6c2,60,53.22,3229.33,1,two_year,digital_wallet,True,False,3,208.1,163,2.7,0,65+,1,DE-BY,0
1933c19b3ca490f6,64,85.7,5546.78,5,monthly,digital_wallet,True,False,4,386.8,159,3.3,4,51-65,0,DE-HE,0
387997a756b60d48,25,45.62,1197.05,2,annual,credit_card,False,True,11,450.2,125,1.5,3,18-25,0,CH-ZH,0
6f22cea9eb529737,44,81.77,3639.55,3,monthly,digital_wallet,False,True,3,264.9,121,4.2,0,26-35,1,DE-BY,0
1ef74de24738db7d,5,111.73,672.59,3,annual,auto_debit,True,True,10,410.0,38,5.9,0,51-65,0,DE-NW,0
b5a871cf7cc52ccd,37,42.4,1623.95,3,annual,digital_wallet,False,True,1,471.8,69,7.8,4,18-25,0,DE-BY,0
0c98212079c46664,21,62.2,1344.81,3,monthly,digital_wallet,False,False,4,426.2,46,1.6,5,36-50,0,DE-NW,0
33027c5d86ee9f67,41,30.57,1298.26,4,two_year,auto_debit,False,False,2,15.5,207,8.5,4,65+,0,DE-BY,0
e56433ed5346f95f,59,25.7,1532.27,1,monthly,invoice,True,False,5,343.1,330,0.8,4,36-50,0,DE-BY,0
5d596698634b376f,8,35.76,332.9,1,annual,auto_debit,True,False,0,84.0,293,4.3,5,51-65,1,DE-BY,0
15dd59d98f96fd43,48,86.74,4225.51,2,annual,credit_card,False,True,0,307.1,315,2.5,2,51-65,1,CH-ZH,0
f3949495d1d258f1,61,21.4,1319.04,2,two_year,invoice,True,False,12,356.7,245,5.4,3,36-50,1,AT-W,0
53900e3fadc042d3,34,33.88,1176.28,3,monthly,digital_wallet,False,True,2,50.1,336,2.4,4,18-25,0,CH-ZH,0
0fe90c42e16ec1ac,49,52.25,2630.54,2,monthly,credit_card,False,True,11,350.3,290,5.6,4,26-35,1,CH-ZH,0
023873d9a8327222,39,33.43,1322.36,5,monthly,auto_debit,False,True,5,458.9,103,8.1,2,26-35,1,DE-BY,0
106b400678c3f34d,2,30.51,80.6,1,two_year,credit_card,True,False,11,471.0,202,5.9,2,36-50,1,DE-NW,0
651c548260d1130f,20,91.9,1942.7,4,two_year,credit_card,True,False,3,332.8,89,3.8,5,36-50,0,DE-NW,0
169437022249b28e,0,114.62,102.2,5,monthly,invoice,False,True,10,282.8,254,1.4,5,18-25,0,DE-HE,0
6776e8e7006dfcf2,40,32.63,1324.41,3,annual,auto_debit,False,True,3,346.6,179,2.6,0,18-25,0,AT-W,0
149396c4c5912808,56,91.92,5274.79,4,annual,credit_card,False,True,7,394.4,295,6.5,5,26-35,0,AT-W,0
42aa2d0489c6df45,9,98.92,941.73,3,monthly,auto_debit,False,True,6,80.5,38,5.5,0,36-50,1,CH-BE,1
d3654c09e096b5bd,3,60.29,247.63,4,monthly,auto_debit,True,False,3,487.2,209,7.0,5,65+,1,CH-BE,0
05fcfd677ff4a2aa,36,46.23,1705.56,5,annual,invoice,True,False,0,213.8,150,8.2,5,65+,1,DE-NW,0
f29d7ce6de0d8623,12,17.7,226.42,1,annual,auto_debit,False,False,7,244.5,338,2.7,5,65+,1,DE-NW,1
70a47eb6dcfc057c,47,107.98,5177.18,3,annual,digital_wallet,False,True,4,282.1,77,7.5,5,18-25,0,CH-BE,0
ddec1d52a8577332,44,99.86,4519.31,2,two_year,auto_debit,False,False,8,343.5,243,5.7,1,51-65,1,DE-BY,0
478afcd83d763d72,50,109.79,5599.52,5,two_year,invoice,True,False,2,474.5,85,9.7,6,26-35,0,DE-BY,0
